TrendID,TrendName,Description,StartDate,EndDate,AffectedProducts,Region,Impact,TrendSource,LastUpdated
23,Rise in Sustainable Products,Market trend indicating rise in sustainable products,2023-11-16,2024-01-31,"15,14,10,5,11",Latin America,Low,Industry Analysis,2024-06-02
24,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-12-18,2024-05-02,"16,4",Europe,Medium,Expert Opinion,2024-05-23
25,Rise in Sustainable Products,Market trend indicating rise in sustainable products,2023-07-23,2024-04-22,11,Europe,Medium,Consumer Survey,2024-05-25
26,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2024-03-19,2024-12-23,"4,16,14,18,11",Middle East & Africa,Critical,Expert Opinion,2024-05-27
27,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2024-01-18,2024-07-14,"4,10",Europe,Critical,Consumer Survey,2024-05-30
28,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2024-05-10,2025-05-07,"5,19,3,10",North America,Medium,Market Research Report,2024-05-19
29,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2024-01-29,2024-09-17,"2,18,11,19",Europe,Medium,Expert Opinion,2024-05-24
30,Adoption of 5G Technology,Market trend indicating adoption of 5g technology,2023-11-08,2024-09-29,7,Asia-Pacific,Critical,Industry Analysis,2024-05-22
31,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2024-03-08,2024-04-17,7,Middle East & Africa,Critical,Expert Opinion,2024-05-27
32,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2023-11-16,2024-03-03,"9,14,20",North America,Critical,Market Research Report,2024-05-23
33,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2023-09-04,2024-06-03,"5,7",Asia-Pacific,Medium,Consumer Survey,2024-06-01
34,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2024-05-05,2024-12-24,"10,17",North America,High,Market Research Report,2024-05-26
35,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2023-09-21,2023-11-17,"10,17",Europe,Medium,Consumer Survey,2024-06-12
36,Shift to Online Shopping,Market trend indicating shift to online shopping,2023-09-10,2024-01-15,"14,18",Latin America,Low,Consumer Survey,2024-05-29
37,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2023-09-10,2024-01-19,"6,17,14,19,8",Europe,Critical,Market Research Report,2024-05-27
38,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2024-02-21,2024-05-19,"1,16",Middle East & Africa,High,Expert Opinion,2024-06-15
39,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2023-12-23,2024-02-26,"8,16",North America,Medium,Industry Analysis,2024-06-09
40,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2024-01-09,2024-07-04,"12,16",Middle East & Africa,Medium,Expert Opinion,2024-06-04
41,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2023-08-14,2023-11-29,5,Middle East & Africa,Critical,Expert Opinion,2024-05-27
42,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2023-11-03,2024-09-28,"6,12",North America,Low,Industry Analysis,2024-06-06
43,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-12-06,2024-09-10,"4,8,10,5,12",Europe,High,Consumer Survey,2024-06-14
44,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2024-04-02,2025-03-01,"12,7,16,15,19",Asia-Pacific,Medium,Expert Opinion,2024-06-06
45,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-08-20,2024-03-26,"5,10,16,19",Asia-Pacific,Critical,Consumer Survey,2024-06-05
46,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2023-08-16,2024-03-11,5,North America,Medium,Market Research Report,2024-06-03
47,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2023-10-22,2024-10-15,"8,12",Latin America,High,Consumer Survey,2024-06-14
48,Adoption of 5G Technology,Market trend indicating adoption of 5g technology,2023-08-14,2024-08-12,"12,7,16,15,19",Asia-Pacific,Critical,Industry Analysis,2024-06-11
49,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2024-01-31,2024-06-15,"6,17,14,19,8",Middle East & Africa,Medium,Expert Opinion,2024-06-10
50,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2023-11-05,2024-03-12,"17,9",Middle East & Africa,Critical,Expert Opinion,2024-05-19
51,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-09-04,2023-12-31,"4,10",Middle East & Africa,Critical,Industry Analysis,2024-06-08
52,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2023-11-09,2024-01-10,"10,16,11,7",Latin America,Low,Industry Analysis,2024-06-10
53,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2024-03-04,2024-10-26,"18,12",Latin America,High,Expert Opinion,2024-05-30
54,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2023-10-13,2024-07-21,"3,14",Asia-Pacific,Low,Industry Analysis,2024-05-29
55,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2024-03-10,2024-10-26,"16,2,13,8",North America,Low,Market Research Report,2024-05-23
56,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-07-30,2023-09-08,"6,16",Europe,High,Expert Opinion,2024-06-11
57,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2023-09-05,2024-01-07,"6,5,16,7",Asia-Pacific,Low,Consumer Survey,2024-05-28
58,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2023-06-22,2024-02-09,"1,19,14,20,7",North America,Medium,Market Research Report,2024-06-04
59,Preference for Wireless Earbuds,Market trend indicating preference for wireless earbuds,2023-12-20,2024-03-25,"2,8",North America,Critical,Industry Analysis,2024-06-08
60,Rise in Sustainable Products,Market trend indicating rise in sustainable products,2023-12-08,2024-05-27,"8,12",Middle East & Africa,Medium,Industry Analysis,2024-06-13
61,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-09-27,2024-06-03,"10,20,15,16,17",Middle East & Africa,Critical,Market Research Report,2024-06-17
62,Adoption of 5G Technology,Market trend indicating adoption of 5g technology,2023-12-19,2024-04-15,"2,1,5,15",Latin America,Low,Consumer Survey,2024-06-10
63,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2023-08-06,2024-02-28,"19,14,9,16,3",Middle East & Africa,Low,Industry Analysis,2024-06-14
64,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2024-03-08,2024-05-16,"6,17,14,19,8",Asia-Pacific,Low,Consumer Survey,2024-05-19
65,Preference for Wireless Earbuds,Market trend indicating preference for wireless earbuds,2024-01-09,2024-06-20,"3,18,9",Latin America,Critical,Industry Analysis,2024-06-13
66,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2024-05-18,2024-11-07,"10,16,11,7",Asia-Pacific,High,Consumer Survey,2024-05-30
67,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2023-07-16,2024-01-06,"10,3",Middle East & Africa,Critical,Industry Analysis,2024-06-10
68,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-12-13,2024-07-12,"8,3,4,17",Middle East & Africa,High,Industry Analysis,2024-06-11
69,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2024-04-29,2025-02-23,"5,8,7,16",North America,High,Industry Analysis,2024-06-14
70,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2024-02-10,2024-09-21,"3,19,6",Europe,Medium,Consumer Survey,2024-06-17
71,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2023-07-06,2023-10-18,"1,19,14,20,7",Asia-Pacific,Critical,Expert Opinion,2024-05-19
72,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2024-04-29,2024-08-28,"14,19,9,16,3",North America,Low,Industry Analysis,2024-06-12
73,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2023-12-24,2024-10-09,"18,9,5",Asia-Pacific,Critical,Consumer Survey,2024-05-22
74,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2024-03-29,2024-05-06,"3,14",North America,High,Industry Analysis,2024-05-30
75,Adoption of 5G Technology,Market trend indicating adoption of 5g technology,2023-11-28,2024-11-16,"2,18,11,19",North America,Critical,Market Research Report,2024-06-16
76,Shift to Online Shopping,Market trend indicating shift to online shopping,2024-05-15,2025-03-22,"5,1,18",Latin America,Critical,Expert Opinion,2024-05-18
77,Shift to Online Shopping,Market trend indicating shift to online shopping,2023-08-08,2023-12-19,"1,10,5,8",North America,Medium,Industry Analysis,2024-05-29
78,Shift to Online Shopping,Market trend indicating shift to online shopping,2024-01-27,2024-05-02,"6,12,20",Middle East & Africa,Critical,Consumer Survey,2024-05-25
79,Shift to Online Shopping,Market trend indicating shift to online shopping,2024-02-05,2024-12-28,7,Asia-Pacific,Medium,Industry Analysis,2024-05-27
80,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-06-30,2023-09-02,"12,7,16,15,19",Middle East & Africa,High,Industry Analysis,2024-05-31
81,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2024-03-19,2024-06-18,"13,2,7,10",North America,High,Expert Opinion,2024-05-19
82,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2024-04-24,2024-10-07,"8,15,2,12,19",Middle East & Africa,High,Expert Opinion,2024-06-11
83,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-10-13,2024-04-11,"6,10,12,16,17",North America,High,Expert Opinion,2024-05-19
84,Preference for Wireless Earbuds,Market trend indicating preference for wireless earbuds,2023-12-08,2024-07-25,6,North America,High,Consumer Survey,2024-05-18
85,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2023-09-19,2023-11-26,20,Middle East & Africa,High,Expert Opinion,2024-06-12
86,Emerging Markets Expansion,Market trend indicating emerging markets expansion,2024-03-02,2025-01-28,"2,18,11,19",Asia-Pacific,Low,Consumer Survey,2024-05-20
87,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2023-10-08,2023-12-27,6,Asia-Pacific,Critical,Consumer Survey,2024-06-08
88,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2023-12-11,2024-04-23,"5,1,18",Latin America,Low,Consumer Survey,2024-06-09
89,Surge in Smart Home Devices,Market trend indicating surge in smart home devices,2024-03-20,2025-03-17,"13,12",North America,Medium,Expert Opinion,2024-06-09
90,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2023-08-01,2024-06-05,"17,18",North America,Medium,Industry Analysis,2024-06-08
91,Shift to Online Shopping,Market trend indicating shift to online shopping,2023-11-09,2024-07-17,"20,6,5",Middle East & Africa,Low,Consumer Survey,2024-06-11
92,Shift to Online Shopping,Market trend indicating shift to online shopping,2023-10-22,2024-07-11,"12,7,5,9,2",Europe,Medium,Consumer Survey,2024-05-20
93,Rise in Sustainable Products,Market trend indicating rise in sustainable products,2024-02-19,2024-05-25,"19,5",Latin America,Low,Expert Opinion,2024-06-10
94,Preference for Wireless Earbuds,Market trend indicating preference for wireless earbuds,2024-01-26,2024-07-19,"8,3,4,17",Middle East & Africa,High,Consumer Survey,2024-06-14
95,Increasing Demand for Smartphones,Market trend indicating increasing demand for smartphones,2023-10-15,2023-12-14,"4,8,10,5,12",Asia-Pacific,Critical,Industry Analysis,2024-05-18
96,Decline in Tablet Sales,Market trend indicating decline in tablet sales,2023-07-12,2024-05-06,"5,8,7,16",North America,Medium,Expert Opinion,2024-05-31
97,Increase in Gaming Consoles Demand,Market trend indicating increase in gaming consoles demand,2023-08-29,2023-11-16,"1,8",Latin America,Low,Consumer Survey,2024-05-29
98,Growth in Wearable Technology,Market trend indicating growth in wearable technology,2023-07-10,2023-10-22,"11,20",Middle East & Africa,Medium,Industry Analysis,2024-06-14
99,Rise in Sustainable Products,Market trend indicating rise in sustainable products,2023-11-08,2024-08-12,"9,19,13,2",Latin America,High,Expert Opinion,2024-06-01
100,Shift to Online Shopping,Market trend indicating shift to online shopping,2024-04-22,2024-05-30,"18,9,5",Europe,Medium,Market Research Report,2024-05-29
